ID,school_code,school_year,rolled_into,district_code_IWL,district_code_lea,school_type_iwl,school_type_other,is_open,name_iwl,name_hub,low_grade,high_grade,grade_config_IWL,grade_config_HUB,street1,street2,city,zip,phone,url,principal,principal_label,num_students,num_teachers,notes,name_short,district_name,name_short_lea,corecity_4_yn,corecity_5_yn,corecity_6_yn,charter_yn,compare_py_dsc,elem_yn,middle_yn,high_yn,pk_only_yn,title1_yn,grade_span,include_IWL_file_yn,display_yn_HUB,nces_code,ACT_CEEB_code,ucoa_code,ucoa_leacode,ctract2010,cblock2010,ctract2000,cblock2000,MC_yn,neighborhood
5497,09105,2014-2015,,09,09,Public School,,Y,Frenchtown School,Frenchtown School,K,2,Emh,Elementary,1100 Frenchtown Road,,East Greenwich,02818,4013981402,http://www.egsd.net/Frenchtown.cfm?subpage=620391,Cheryl Vaughn,Principal,254,,,Frenchtown,East Greenwich,E. Greenwich,N,N,N,N,,Y,N,N,N,,K to 2,Y,Y,440030000088,,,,44003020903,,,,N,
5498,09106,2014-2015,,09,09,Public School,,Y,East Greenwich High School,East Greenwich High School,9,12,emH,High,300 Avenger Drive,,East Greenwich,02818,4013981574,http://www.egsd.net/HighSchool.cfm?subpage=620381,Michael Podraza,Principal,713,,,E. Greenwich HS,East Greenwich,E. Greenwich,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440030000086,400040,,,44003020904,,,,N,
5499,09107,2014-2015,,09,09,Public School,,Y,Meadowbrook Farms School,Meadowbrook Farms School,PK,2,Emh,Elementary,2 Chestnut Drive,,East Greenwich,02818,4013981602,http://www.egsd.net/Meadowbrook.cfm?subpage=620393,Neil Marcaccio,Principal,235,,"In 2014-15, grade 3 was dropped.",Meadowbrook Farms,East Greenwich,E. Greenwich,N,N,N,N,,Y,N,N,N,,PK to 2,Y,Y,440030000090,,,,44003020904,,,,N,
5500,09108,2014-2015,,09,09,Public School,,Y,George Hanaford School,George Hanaford School,3,5,Emh,Elementary,200 Middle Road,,East Greenwich,02818,4013981351,http://www.egsd.net/Hanaford.cfm?subpage=620385,Beth Cauley,Principal,277,,"In 2014-15, grade 3 was added.",Hanaford,East Greenwich,E. Greenwich,N,N,N,N,,Y,N,N,N,,3 to 5,Y,Y,440030000377,,,,44003020901,,,,N,
5501,10109,2014-2015,,10,10,Public School,,Y,Edward R. Martin Middle School,Edward R. Martin Middle School,6,8,eMh,Middle,111 Brown Street,,East Providence,02914,4014357819,http://epschoolsri.com/martin,Frank DeVall,Principal,640,,,Martin MS,East Providence,E. Providence,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440033000348,,,,44007010501,,,,N,
5502,10111,2014-2015,,10,10,Public School,,Y,James R. D. Oldham School,James R. D. Oldham School,K,5,Emh,Elementary,60 Bart Drive,,Riverside,02915,4014336209,,Donna Peluso,Principal,185,,,Oldham,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000094,,,,44007010600,,,,N,
5503,10112,2014-2015,,10,10,Public School,,Y,East Providence High School,East Providence High School,9,12,emH,High,2000 Pawtucket Avenue,,East Providence,02914,4014357806,http://eastprovidencehighschool.com/web/,Janet Sheehan,Principal,1481,,,East Providence HS,East Providence,E. Providence,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440033000097,400050,,,44007010300,,,,N,
5504,10113,2014-2015,,10,10,Public School,,Y,Kent Heights School,Kent Heights School,K,5,Emh,Elementary,2680 Pawtucket Avenue,,East Providence,02914,4014357824,http://www.epschoolsri.com/kent,Fatima Avila,Principal,275,,,Kent Heights,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000099,,,,44007010501,,,,N,
5505,10114,2014-2015,,10,10,Public School,,Y,Alice M. Waddington School,Alice M. Waddington School,PK,5,Emh,Elementary,101 Legion Way,,Riverside,02915,4014336235,http://www.epschoolsri.com/waddington,Patricia Barlow,Principal,548,,,Waddington,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440033000092,,,,44007010702,,,,N,
5506,10116,2014-2015,,10,10,Public School,,Y,Agnes B. Hennessey School,Agnes B. Hennessey School,K,5,Emh,Elementary,75 Fort Street,,East Providence,02914,4014357831,http://epschoolsri.com/hennessey,Carrie McWilliams,Principal,278,,,Hennessey,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000091,,,,44007010400,,,,N,
5507,10117,2014-2015,,10,10,Public School,,Y,Emma G. Whiteknact School,Emma G. Whiteknact School,K,5,Emh,Elementary,261 Grosvenor Avenue,,East Providence,02914,4014357828,http://www.epschoolsri.com/whiteknact,Nadine Lima,Principal,283,,,Whiteknact,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000109,,,,44007010300,,,,N,
5508,10121,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5509,10122,2014-2015,,10,10,Public School,,Y,Riverside Middle School,Riverside Middle School,6,8,eMh,Middle,179 Forbes Street,,Riverside,02915,4014336230,http://epschoolsri.com/riverside,Cheri Guerra,Principal,477,,,Riverside MS,East Providence,E. Providence,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440033000105,,,,44007010701,,,,N,
5510,10123,2014-2015,,10,10,Public School,,Y,Silver Spring School,Silver Spring School,K,5,Emh,Elementary,120 Silver Spring Avenue,,East Providence,02914,4014357836,http://www.epschoolsri.com/silverspring/,Kathleen Caffrey,Principal,263,,,Silver Spring,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000106,,,,44007010502,,,,N,
5511,10124,2014-2015,,10,10,Public School,,Y,Orlo Avenue School,Orlo Avenue School,K,5,Emh,Elementary,25 Orlo Avenue,,East Providence,02914,4014337836,http://www.epschoolsri.com/orlo/,Yanaiza Gallant,Principal,292,,,Orlo Ave,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000103,,,,44007010300,,,,N,
5512,10125,2014-2015,,10,10,Public School,,Y,Myron J. Francis Elementary School,Myron J. Francis Elementary School,K,5,Emh,Elementary,64 Bourne Avenue,,Rumford,02916,4014357829,http://epschoolsri.com/francis,Lloydanne Leddy,Principal,423,,,Francis,East Providence,E. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440033000389,,,,44007010101,,,,N,
5513,10130,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440000200459,,,,,,,,N,
5514,12101,2014-2015,,12,12,Public School,,Y,Captain Isaac Paine Elementary School,Captain Isaac Paine Elementary School,K,5,Emh,Elementary,160 Foster Center Road,,Foster,02825,4016475100,http://www.paineschool.org/,Kristen Danusis,Principal,284,,,Paine,Foster,Foster,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440039000114,,,,44007013300,,,,N,
5515,13103,2014-2015,,13,13,Public School,,Y,Fogarty Memorial School,Fogarty Memorial School,K,5,Emh,Elementary,736 Snake Hill Road,,North Scituate,02857,4015686211,http://fms.glocschools.org/,Laurie Mokaba,Principal,299,,,Fogarty Mem.,Glocester,Glocester,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440045000119,,,,44007013102,,,,N,
5516,13104,2014-2015,,13,13,Public School,,Y,West Glocester Elementary,West Glocester Elementary,PK,5,Emh,Elementary,111 Reynolds Road/Rte 94,,Chepachet,02814,4015670350,http://wges.glocschools.org/,Nancy Zambarano,Principal,230,,,West Glocester,Glocester,Glocester,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440045000403,,,,44007013101,,,,N,
5517,15101,2014-2015,,15,15,Public School,,Y,Lawn Avenue School,Lawn Avenue School,5,8,eMh,Middle,55 Lawn Avenue,,Jamestown,02835,4014237010,http://www.jamestownri.com/school/lawnave.htm,Nathaniel Edmunds,Principal,204,,,Lawn Ave,Jamestown,Jamestown,N,N,N,N,,N,Y,N,N,,5 to 8,Y,Y,440051000123,,,,44005041300,,,,N,
5518,15102,2014-2015,,15,15,Public School,,Y,Melrose Avenue School,Melrose Avenue School,PK,4,Emh,Elementary,76 Melrose Avenue,,Jamestown,02835,4014237020,http://www.jamestownri.com/school/melroseave.htm,Carole Melucci,Principal,293,,,Melrose Ave,Jamestown,Jamestown,N,N,N,N,,Y,N,N,N,,PK to 4,Y,Y,440051000404,,,,44005041300,,,,N,
5519,16103,2014-2015,,16,16,Public School,,Y,Thornton School,Thornton School,1,5,Emh,Elementary,4 School Street,,Johnston,02919,4019437369,http://thornton.johnstonschools.org/,Louise Denham,Principal,357,,,Thornton,Johnston,Johnston,N,N,N,N,,Y,N,N,N,,1 to 5,Y,Y,440054000131,,,,44007012500,,,,N,
5520,16104,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440054000126,,,,,,,,,
5521,16106,2014-2015,,16,16,Public School,,Y,Brown Avenue School,Brown Avenue School,1,5,Emh,Elementary,14 Brown Avenue,,Johnston,02919,4019340270,http://brown.johnstonschools.org/,Helina Dlugon,Principal,224,,,Brown Ave,Johnston,Johnston,N,N,N,N,,Y,N,N,N,,1 to 5,Y,Y,440054000125,,,,44007012200,,,,N,
5522,16108,2014-2015,,16,16,Public School,,Y,Sarah Dyer Barnes School,Sarah Dyer Barnes School,1,5,Emh,Elementary,24 Barnes Avenue,,Johnston,02919,4012318710,http://barnes.johnstonschools.org/,Jill Souza,Principal,266,,,Barnes,Johnston,Johnston,N,N,N,N,,Y,N,N,N,,1 to 5,Y,Y,440054000130,,,,44007012300,,,,N,
5523,16109,2014-2015,,16,16,Public School,,Y,Winsor Hill School,Winsor Hill School,1,5,Emh,Elementary,100 Theresa Street,,Johnston,02919,4018314619,http://winsor.johnstonschools.org/,Michele Zarcaro,Principal,350,,,Winsor Hill,Johnston,Johnston,N,N,N,N,,Y,N,N,N,,1 to 5,Y,Y,440054000132,,,,44007012402,,,,N,
5524,16110,2014-2015,,16,16,Public School,,Y,Graniteville School,Graniteville School,PK,PK,Emh,Elementary,6 Collins Avenue,,Johnston,02919,4012318790,http://graniteville.johnstonschools.org/,Maria Petronio-McAfee,Principal,68,,,Graniteville (PreK),Johnston,Johnston,N,N,N,N,,Y,N,N,Y,,PK to PK,Y,Y,440054000127,,,,44007012300,440070123001006,,,N,
5525,16111,2014-2015,,16,16,Public School,,Y,Nicholas A. Ferri Middle School,Nicholas A. Ferri Middle School,6,8,eMh,Middle,10 Memorial Avenue,,Johnston,02919,4012331930,http://fms.johnstonschools.org/,Dennis Morrell,Principal,741,,,Ferri MS,Johnston,Johnston,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440054000129,,,,44007012200,,,,N,
5526,16112,2014-2015,,16,16,Public School,,Y,Johnston Senior High School,Johnston Senior High School,9,12,emH,High,345 Cherry Hill Road,,Johnston,02919,4012331920,http://johnstonhighschool.com/,Zachary Farrell,Principal,838,,,Johnston SHS,Johnston,Johnston,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440054000128,400058,,,44007012300,,,,N,
5527,16114,2014-2015,,16,16,Public School,,Y,Early Childhood Center,Early Childhood Center,K,K,Emh,Elementary,10 Memorial Avenue,,Johnston,02919,4012330054,http://graniteville.johnstonschools.org/ECC/index.html,Maria Petronio-McAfee,Principal,231,,"In 2014-15, grade PK was dropped.",Early Childhood Ctr,Johnston,Johnston,N,N,N,N,,Y,N,N,N,,K to K,Y,Y,440054000452,,,,4400701220,440070122004058,,,N,
5528,17102,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440057000008,,,,,,,,,
5529,17106,2014-2015,,17,17,Public School,,Y,Lonsdale Elementary School,Lonsdale Elementary School,K,5,Emh,Elementary,270 River Road,,Lincoln,02865,4017254200,http://www.lincolnps.org/lonsdaleelementary/,Rosemary Stein,Principal,312,,"In 2014-15, grade PK was dropped.",Lonsdale,Lincoln,Lincoln,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440057000137,,,,44007011701,,,,N,
5530,17109,2014-2015,,17,17,Public School,,Y,Lincoln Central Elementary School,Lincoln Central Elementary School,K,5,Emh,Elementary,1081 Great Road,,Lincoln,02865,4013342800,http://www.lincolnps.org/centralelementary/,Patricia Gablinske,Principal,323,,,Lincoln Central,Lincoln,Lincoln,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440057000134,,,,44007011600,,,,N,
5531,17110,2014-2015,,17,17,Public School,,Y,Lincoln Senior High School,Lincoln Senior High School,9,12,emH,High,135 Old River Road,,Lincoln,02865,4013347500,http://www.lincolnlions.org/,Kevin McNamara,Principal,918,,,Lincoln SHS,Lincoln,Lincoln,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440057000135,400059,,,44007011600,,,,N,
5532,17112,2014-2015,,17,17,Public School,,Y,Saylesville Elementary School,Saylesville Elementary School,K,5,Emh,Elementary,50 Woodland Street,,Lincoln,02865,4017235240,http://www.lincolnps.org/saylesvilleelementary/,Reza Sarkarati,Principal,255,,,Saylesville,Lincoln,Lincoln,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440057000139,,,,44007011702,,,,N,
5533,17113,2014-2015,,17,17,Public School,,Y,Northern Lincoln Elementary School,Northern Lincoln Elementary School,PK,5,Emh,Elementary,315 New River Road,,Manville,02838,4017690261,http://www.lincolnps.org/northernelementary/,Alec Ciminello,Principal,479,,,Northern Lincoln,Lincoln,Lincoln,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440057000138,,,,44007011500,,,,N,
5534,17114,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440057000295,,,,,,,,,
5535,17117,2014-2015,,17,17,Public School,,Y,Lincoln Middle School,Lincoln Middle School,6,8,eMh,Middle,152 Jenckes Hill Road,,Lincoln,02865,4017213400,http://www.lincolnps.org/middleschool/,Mark Thompson,Principal,775,,,Lincoln MS,Lincoln,Lincoln,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440057000062,,,,44007011600,,,,N,
5536,17701,2014-2015,,17,40,State Operated School,,Y,William M. Davies Career & Technical Center,Wm. M. Davies Jr. Career-Technical High School,9,12,emH,High,50 Jenckes Hill Road,,Lincoln,02865,4017281500,http://www.daviestech.org/,Victoria Gailliard-Garrick,Director,826,,,Davies Career-Tech HS,Davies Career & Tech,Davies CTECH,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440000400379,400057,,,44007011600,,,,N,
5537,18101,2014-2015,,18,18,Public School,,Y,Wilbur & McMahon Schools,Wilbur & McMahon Schools,K,8,EMh,"Elem,Middle",28 Commons,,Little Compton,02837,4016352351,http://www.lcsd.k12.ri.us/pages/Wilbur_McMahon_School,Joao Arruda,Principal,248,,,Wilbur & McMahon,Little Compton,Little Compton,N,N,N,N,,Y,Y,N,N,,K to 8,Y,Y,440060000140,,,,44005041400,,,,N,
5538,19106,2014-2015,,19,19,Public School,,Y,Aquidneck School,Aquidneck School,PK,3,Emh,Elementary,70 Reservoir Avenue,,Middletown,02842,4018474921,http://www.ri.net/middletown/aquidneck/index.html,Vincent Giuliano,Principal,386,,,Aquidneck,Middletown,Middletown,N,N,N,N,,Y,N,N,N,,PK to 3,Y,Y,440063000141,,,,44005040400,,,,N,
5539,19107,2014-2015,,19,19,Public School,,Y,Forest Avenue School,Forest Avenue School,K,3,Emh,Elementary,315 Forest Avenue,,Middletown,02842,4018499434,http://www.ri.net/middletown/forest/index.html,Stephen Ponte,Principal,339,,,Forest Ave,Middletown,Middletown,N,N,N,N,,Y,N,N,N,,K to 3,Y,Y,440063000405,,,,44005040304,,,,N,
5540,19111,2014-2015,,19,19,Public School,,Y,Middletown High School,Middletown High School,9,12,emH,High,130 Valley Road,,Middletown,02842,4018467250,http://www.mpsri.net/page.cfm?p=887,Gail Abromitis,Principal,653,,,Middletown HS,Middletown,Middletown,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440063000147,400063,,,44005040400,,,,N,
5541,19112,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440063000145,,,,,,,,,
5542,19114,2014-2015,,19,19,Public School,,Y,Joseph H. Gaudet School,Joseph H. Gaudet School,5,8,eMh,Middle,1113 Aquidneck Avenue,,Middletown,02842,4018466395,http://www.ri.net/middletown/gaudet/index.html,Michelle Fonseca,Principal,706,,,Gaudet,Middletown,Middletown,N,N,N,N,,N,Y,N,N,,5 to 8,Y,Y,440063000144,,,,44005040400,,,,N,
5543,19117,2014-2015,,19,19,Public School,,Y,Joseph H. Gaudet Learning Academy,Joseph H. Gaudet Learning Academy,4,4,Emh,Elementary,1113 Aquidneck Ave.,,Middletown,02842,4018466395,http://www.ri.net/middletown/gaudet/index.html,Michelle Fonseca,Principal,168,,,Gaudet LA,Middletown,Middletown,N,N,N,N,,Y,N,N,N,,4 to 4,Y,Y,440063000471,,,,44005040400,,,,N,
5544,20102,2014-2015,,20,20,Public School,,Y,Narragansett Elementary School,Narragansett Elementary School,PK,4,Emh,Elementary,55 Mumford Road,,Narragansett,02882,4017929420,http://www.narragansett.k12.ri.us/NES/Index.html,Gail Dandurand,Principal,505,,,Narragansett,Narragansett,Narragansett,N,N,N,N,,Y,N,N,N,,PK to 4,Y,Y,440066000150,,,,44009051503,,,,N,
5545,20103,2014-2015,,20,20,Public School,,Y,Narragansett Pier School,Narragansett Pier School,5,8,eMh,Middle,235 South Pier Road,,Narragansett,02882,4017929430,http://www.narragansett.k12.ri.us/NPS/,Marianne Kirby,Principal,405,,,Narragansett Pier,Narragansett,Narragansett,N,N,N,N,,N,Y,N,N,,5 to 8,Y,Y,440066000396,,,,44009051503,,,,N,
5546,20104,2014-2015,,20,20,Public School,,Y,Narragansett High School,Narragansett High School,9,12,emH,High,245 South Pier Road,,Narragansett,02882,4017929400,http://www.narragansett.k12.ri.us/nhs/,Daniel Warner,Principal,421,,,Narragansett HS,Narragansett,Narragansett,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440066000151,400064,,,44009051503,,,,N,
5547,21102,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5548,21103,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440072000152,,,,,,,,,
5549,21105,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5550,21106,2014-2015,,21,21,Public School,,Y,Frank E. Thompson Middle School,Frank E. Thompson Middle School,5,8,eMh,Middle,55 Broadway,,Newport,02840,4018471493,http://www.npsri.net/tms,Jaime Crowley,Principal,574,,,Thompson MS,Newport,Newport,N,Y,Y,N,,N,Y,N,N,,5 to 8,Y,Y,440072000155,,,,44005040700,,,,N,
5551,21107,2014-2015,,21,21,Public School,,Y,Claiborne Pell Elementary School,Claiborne Pell Elementary School,PK,4,Emh,Elementary,35 Dexter Street,,Newport,02840,4018421900,http://www.npsri.net/pell,Kimberly Behan,Principal,890,,,Pell Elem.,Newport,Newport,N,Y,Y,N,,Y,N,N,N,,Pk to 4,Y,Y,,,,,44005040500,440050405002012,,,N,
5552,21110,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5553,21111,2014-2015,,21,21,Public School,,Y,Rogers High School,Rogers High School,9,12,emH,High,15 Wickham Road,,Newport,02840,4018476235,http://www.npsri.net/rhs,Jeffrey Gross,Principal,568,,,Rogers HS,Newport,Newport,N,Y,Y,N,,N,N,Y,N,,9 to 12,Y,Y,440072000159,400075,,,44005040900,,,,N,
5554,21112,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5555,21114,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5556,22101,2014-2015,,22,22,Public School,,Y,Block Island School,Block Island School,K,12,EMH,"Elem,Middle,High",15 High Street,,Block Island,02807,4014665600,http://blockislandschool.net/,John Canole and Kristine Monje,Co-Principals,117,,,Block Island,New Shoreham,New Shoreham,N,N,N,N,,Y,Y,Y,N,,K to 12,Y,Y,440069000149,400005,,,44009041500,,,,N,
5557,23104,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,
5558,23105,2014-2015,,23,23,Public School,,Y,Wickford Middle School,Wickford Middle School,6,8,eMh,Middle,250 Tower Hill Road,,North Kingstown,02852,4012686470,http://www.edlinesites.net/pages/Wickford_Middle_School,Terrence Merkel,Principal,434,,,Wickford MS,North Kingstown,N. Kingstown,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440075000172,,,,44009050302,,,,N,
5559,23107,2014-2015,,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,440075000164,,,,,,,,,
5560,23108,2014-2015,,23,23,Public School,,Y,North Kingstown Senior High School,North Kingstown Senior High School,9,12,emH,High,150 Fairway Drive,,North Kingstown,02852,4012686236,http://www.edlinesites.net/pages/North_Kingstown_Sr__High,Denise Mancini,Principal,1407,,,North Kingstown SHS,North Kingstown,N. Kingstown,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440075000168,400088,,,44009050302,,,,N,
5561,23109,2014-2015,,23,23,Public School,,Y,Fishing Cove Elementary School,Fishing Cove Elementary School,PK,5,Emh,Elementary,110 Wickford Point Road,,North Kingstown,02852,4012686580,http://www.edlinesites.net/pages/Fishing_Cove_Elementary_School,Karen Seitler,Principal,328,,,Fishing Cove,North Kingstown,N. Kingstown,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440075000398,,,,44009050102,,,,N,
5562,23110,2014-2015,,23,23,Public School,,Y,Forest Park Elementary School,Forest Park Elementary School,K,5,Emh,Elementary,50 Woodlawn Drive,,North Kingstown,02852,4015416380,http://www.edlinesites.net/pages/817973137223816930,Wendy Amelotte,Principal,277,,,Forest Park,North Kingstown,N. Kingstown,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440075000166,,,,44009050104,,,,N,
5563,23111,2014-2015,,23,23,Public School,,Y,Hamilton Elementary School,Hamilton Elementary School,K,5,Emh,Elementary,25 Salisbury Avenue,,North Kingstown,02852,4012686520,http://www.edlinesites.net/pages/Hamilton_School,Morag Cronkite,Principal,353,,,Hamilton,North Kingstown,N. Kingstown,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440075000167,,,,44009050402,,,,N,
5564,23112,2014-2015,,23,23,Public School,,Y,Davisville Middle School,Davisville Middle School,6,8,eMh,Middle,200 School Street,,North Kingstown,02852,4015416300,http://www.edlinesites.net/pages/Davisville_Middle_School,Ruthanne Logan,Principal,526,,,Davisville MS,North Kingstown,N. Kingstown,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440075000165,,,,44009050103,,,,N,
5565,23113,2014-2015,,23,23,Public School,,Y,Suzanne M. Henseler Quidnessett Elementary School,Suzanne M. Henseler Quidnessett Elementary School,K,5,Emh,Elementary,166 Mark Drive,,North Kingstown,02852,4015416360,http://www.edlinesites.net/pages/Quidnesset_School,Louise Denette,Principal,315,,,Henseler Quidnesset,North Kingstown,N. Kingstown,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440075000169,,,,44009050103,,,,N,
5566,23114,2014-2015,,23,23,Public School,,Y,Stony Lane Elementary School,Stony Lane Elementary School,K,5,Emh,Elementary,825 Stony Lane,,North Kingstown,02852,4012686540,http://www.edlinesites.net/pages/Stony_Lane_Elementary_School,Edward Ferrario,Principal,408,,,Stony Lane,North Kingstown,N. Kingstown,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440075000170,,,,44009050102,,,,N,
5567,23601,2014-2015,,32,55,Independent Charter School,,Y,The Compass School,The Compass School,K,8,EMh,"Elem,Middle",537 Old North Road,,Kingston,02881,4017888322,http://www.compassschool.org/home/,Michael Obel-Omia,Interim Principal,167,,,Compass,Compass Charter School,Compass Charter,N,N,N,Y,,Y,Y,N,N,,K to 8,Y,Y,440003500245,,,,44009051305,,,,N,
5568,24103,2014-2015,,24,24,Public School,,Y,Marieville Elementary School,Marieville Elementary School,K,5,Emh,Elementary,1135 Mineral Spring Avenue,,North Providence,02904,4017250099,http://npsd.k12.ri.us/marieville/,Bruce Butler,Principal,252,,,Marieville,North Providence,N. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440078000179,,,,44007011800,,,,N,
5569,24105,2014-2015,,24,24,Public School,,Y,North Providence High School,North Providence High School,9,12,emH,High,1828 Mineral Spring Avenue,,North Providence,02904,4012331150,http://npsd.k12.ri.us/nphs/,Joseph Goho,Principal,970,,,North Providence HS,North Providence,N. Providence,N,N,N,N,,N,N,Y,N,,9 to 12,Y,Y,440078000180,400090,,,44007012000,,,,N,
5570,24106,2014-2015,,24,24,Public School,,Y,Stephen Olney School,Stephen Olney School,K,5,Emh,Elementary,1378 Douglas Avenue,,North Providence,02904,4012331160,http://npsd.k12.ri.us/olney/,Janine Napolitano,Principal,296,,,Stephen Olney,North Providence,N. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440078000181,,,,44007011901,,,,N,
5571,24107,2014-2015,,24,24,Public School,,Y,James L. McGuire School,James L. McGuire School,K,5,Emh,Elementary,55 Central Avenue,,North Providence,02911,4012331135,http://npsd.k12.ri.us/mcguire/,Thomas Meagher,Principal,287,,,McGuire,North Providence,N. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440078000177,,,,44007012000,,,,N,
5572,24108,2014-2015,,24,24,Public School,,Y,Dr. Joseph A Whelan Elementary School,Dr. Joseph A Whelan Elementary School,K,5,Emh,Elementary,1440 Mineral Spring Avenue,,North Providence,02904,4012331180,http://npsd.k12.ri.us/whelan/,Kim Granato,Principal,260,,,Whelan,North Providence,N. Providence,N,N,N,N,,Y,N,N,N,,K to 5,Y,Y,440078000182,,,,44007011902,,,,N,
5573,24109,2014-2015,,24,24,Public School,,Y,Centredale School,Centredale School,PK,5,Emh,Elementary,41 Angell Avenue,,North Providence,02911,4012331145,http://npsd.k12.ri.us/centredale/,Joan Piccardi,Principal,276,,,Centredale,North Providence,N. Providence,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440078000174,,,,44007012104,,,,N,
5574,24110,2014-2015,,24,24,Public School,,Y,Greystone School,Greystone School,PK,5,Emh,Elementary,100 Morgan Avenue,,North Providence,02911,4012331130,http://npsd.k12.ri.us/greystone/,Lori DeSimone,Principal,320,,,Greystone,North Providence,N. Providence,N,N,N,N,,Y,N,N,N,,PK to 5,Y,Y,440078000176,,,,44007012104,,,,N,
5575,24111,2014-2015,,24,24,Public School,,Y,Dr. Edward A. Ricci Middle School,Dr. Edward A. Ricci Middle School,6,8,eMh,Middle,51 Intervale Avenue,,North Providence,02911,4012331170,http://npsd.k12.ri.us/ricci/,Lucille Delasanta,Principal,432,,,Ricci MS,North Providence,N. Providence,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440078000178,,,,44007012102,,,,N,
5576,24112,2014-2015,,24,24,Public School,,Y,Birchwood Middle School,Birchwood Middle School,6,8,eMh,Middle,10 Birchwood Drive,,North Providence,02904,4012331120,http://npsd.k12.ri.us/birchwood/,Steven Clarke,Principal,405,,,Birchwood MS,North Providence,N. Providence,N,N,N,N,,N,Y,N,N,,6 to 8,Y,Y,440078000173,,,,44007011902,,,,N,
