code,grades,level,address,c_s_z,phone,fax,website
28337,PK - PK,PK Only,372 Wayland Avenue,"Providence, RI  02906",(401) 272-2228 ,,
28339,PK - KG,PK-3/Elementary,401 Elmgrove Avenue,"Providence, RI  02906",(401) 861-8800 ,,
28345,PK - 12,Elementary/Secondary,15 Bough Street,"Providence, RI  02909",(401) 351-0610 ,(401) 351-5510 ,
28353,09 - 12,Secondary,220 University Avenue,"Providence, RI  02906-5434",(401) 331-2497 ,(401) 421-8869 ,
28356,PK - 12,Elementary/Secondary,86 Mount Hope Avenue,"Providence, RI  02906",(401) 274-6310 ,(401) 421-3280 ,www.grodencenter.org
28361,PK - KG,Elementary,7 Thomas P Whitten Way,"Providence, RI  02903",,,
28365,PK - 06,PK-3/Elementary,600 Mt. Pleasant Avenue,"Providence, RI  02908",(401) 456-8127 ,(401) 456-8128 ,
28371,PK - 03,PK-3,518 Lloyd Avenue,"Providence, RI  02906",(401) 331-6120 ,(401) 331-0437 ,
28376,08 - 12,Secondary,260 Highland Avenue,"Providence, RI  02906",(401) 861-3778 ,(401) 831-0309 ,
28379,PK - PF,PK-3/Elementary,700 Elmwood Avenue,"Providence, RI  02907",(401) 785-8485 ,,
28381,PK - 08,Elementary,1246 Chalkstone Avenue,"Providence, RI  02908",(401) 521-4335 ,(401) 521-3282 ,
28384,KG - 08,Elementary/Middle,1000 Eddy Street,"Providence, RI  02905",(401) 533-9100 ,(401) 533-9101 ,
28386,PK - KG,PK-3/Elementary,1000 Eddy Street,"Providence, RI  02907",(401) 781-2824 ,,
28388,PK - KF,PK-3/Elementary,74 Dexter Street,"Providence, RI  02909",(401) 935-9970 ,,www.mcsri.org
28414, - ,Postsecondary,151 Broadway                  ,"Providence, RI  02903-3052",(401) 272-4300 ,,www.empire.edu
28501, - ,Postsecondary,Prospect Street               ,"Providence, RI  02912",(401) 863-1000 ,(401) 863-7737 ,www.brown.edu                                                            
28503, - ,Postsecondary,2 College Street,"Providence, RI  02903",(401) 454-6764 ,(401) 454-6406 ,www.risd.edu
28505, - ,Postsecondary,600 Mt. Pleasant Avenue       ,"Providence, RI  02908",(401) 456-8101 ,(401) 456-8287 ,www.ric.edu                                                           
28508, - ,Postsecondary,80 Washington Street,"Providence, RI  02903",(401) 277-5489 ,(401) 277-5099 ,www.uri.edu/prov
28602,KF - 12,Elementary,459 Promenade Street,"Providence, RI  02908",(401) 453-2626 ,(401) 453-4964 ,www.paulcuffeeschool.org
28607,10 - 12,Secondary,150 washington Street4th Floor,"Providence, RI  02903",(401) 680-4900 ,(401) 331-5646 ,www.tomorrowsnurses.org
28609,KF - 03,Elementary,370 Hartford Avenue,"Providence, RI  02909",(401) 318-0221 ,,www.achievementfirst.org/schools/rhode-island-schools/
28614,KF - 01,Elementary,370 Hartford Avenue,"Providence, RI  02909",(401) 347-1116 ,(401) 633-6677 ,www.achievementfirst.org
28703,09 - 12,Secondary,325 Public Street,"Providence, RI  02905",(401) 752-2600 ,(401) 752-2632 ,www.metcenter.org
287A1,,,325 Public Street,"Providence, RI  02903",(401) 752-2680 ,(401) 752-2682 ,
287A3,,,325 Public Street,"Providence, RI  02903",(401) 752-2610 ,(401) 752-2612 ,
287A5,,,80 Washington Street,"Providence, RI  02903",(401) 277-5046 ,(401) 277-5049 ,
28803,,,520 Hope Street               ,"Providence, RI  02906",,, 
28805,,,371 Pine Street,"Providence, RI  02903",,,
28807,,,361 Reservoir Avenue,"Providence, RI  02907",(401) 785-8485 ,,
28809,,,260 West Exchange Street,"Providence, RI  02903",,,
28811,,,100 Broad Street,"Providence, RI  02903",(401) 751-6400 ,,
28813,,,222 Richmond StreetSuite 302,"Providence, RI  02903",(401) 456-0100 ,,
28815,,,42 Jillson Street,"Providence, RI  ",,,
28817,,,7 Burgess Street,"Providence, RI  02903",(401) 421-4637 ,,
28819,,,PO Box 603300,"Providence, RI  02906",(401) 861-2761 ,,
28821,,,623 Atwells Avenue,"Providence, RI  02909",,,
28823,,,528 North Main Street,"Providence, RI  02904",(401) 528-0123 ,(401) 528-0124 ,
28825,,,275 North Main Street,"Providence, RI  02903",(401) 274-4500 ,,
28827,,,371 Pine Street,"Providence, RI  02903",(401) 521-9622 ,,
28829,,,PO Box 5299,"Wakefield, RI  02879",(401) 789-3498 ,,
28831,,,50 Fillmore Street,"Providence, RI  02908",(401) 274-5250 ,,
28833,,,,,,,
28835,,,,,,,
28837,,,,,,,
28839,,,,,,,
28841,,,133 Delaine Street,"Providence, RI  02909",(401) 351-2241 ,,
28844,,,162 Metcalf Street,"Providence, RI  02904",(401) 272-5013 ,,
28846,,,371 Pine Street,"Providence, RI  02903",(401) 521-0155 ,,
28848,,,,,,,
28850,,,PO Box 2089,"Providence, RI  02905",(401) 785-9330 ,,
28852,,,9 Courtland Street,"Providence, RI  02909",(401) 421-4722 ,,
28854,,,150 Hope Street,"Providence, RI  02906",(401) 521-5460 ,,
28856,,,25 Danforth Street,"Providence, RI  02908",(401) 455-3890 ,(401) 861-0656 ,
28859,,,50C Niantic Avenue,"Providence, RI  02907",(401) 275-0925 ,,
28861,,,620 Potters Avenue,"Providence, RI  02907",(401) 781-6110 ,,
28863,,,324 Broad Street,"Central Falls, RI  02863",(401) 831-9922 ,,
28865,,,325 Niagra Street,"Providence, RI  02907",(401) 467-3630 ,,
28867,,,371 Pine Street,"Providence, RI  02903",(401) 828-0130 ,,
28870,,,153 Summer Street,"Providence, RI  02903",(401) 276-4307 ,,
28872,,,Dalrymple BoathouseDepartment of Parks,"Providence, RI  02905",(401) 785-9450 ,,
28874,,,1396 Broad Street,"Providence, RI  02905",,,
28876,,,10 Davol Square Suite 300,"Providence, RI  02903",,,
28878,,,1000 Elmwood Avenue,"Providence, RI  02905",(401) 785-9450 ,(401) 941-5290 ,
28880,,,66 Chaffee Street,"Providence, RI  02909",(401) 273-7528 ,,
28882,,,612 Charles Street,"Providence, RI  02904",,,
28884,,,225 Chapman Street,"Providence, RI  02905",(401) 490-6506 ,(401) 490-7614 ,
28886,,,623 Atwells AvenueSuite 201,"Providence, RI  02909",,,
288A0,,,195 Lexington Avenue,"Providence, RI  02907",,,
288A2,,,11 Higgins Avenue,"Providence, RI  02908",(401) 274-8061 ,(401) 331-8677 ,
288A4,,,530 Dexter Street,"Providence, RI  02907",(401) 351-7230 ,,
288A6,,,787 Potters Avenue,"Providence, RI  02907",(401) 351-7230 ,,
288A8,,,20 8th Street,"Providence, RI  02906",(401) 351-7230 ,,
288AA,,,1520 Broad Street,"Providence, RI  02905",,,
288AC,,,Hope Street,"Providence, RI  02906",,,
288AE,,,211 Veazie Street,"Providence, RI  02904",,,
288AG,,,1 Hilton Street,"Providence, RI  02905",,,
288AI,,,Corner of Charles Street and Branch Avenue,"Providence, RI  02904",,,
288AK,,,70 Fricker Street,"Providence, RI  02903",(401) 421-7740 ,,
288AM,,,239 Oxford Street,"Providence, RI  02905",(401) 781-7210 ,,
288AO,,,2 Russo Street,"Providence, RI  02904",(401) 785-9450 ,,
288AQ,,,9 Parkis Street,"Providence, RI  02907",(401) 453-9341 ,,
288AS,,,770 Westminster Street,"Providence, RI  02903",(401) 230-0070 ,,
288AU,,,12 Carter Street,"Providence, RI  02907",,,
288AW,,,41 Fricker street,"Providence, RI  02903",,,
288AY,,,140 Broadway,"Providence, RI  02903",,,
288B0,,,PO Box 603300,"Providence, RI  02906",(401) 861-2670 ,,
288B2,,,139 Knight Street,"Providence, RI  02909",,(401) 861-2680 ,
288B4,,,350 Duncan Drive,"Providence, RI  02906",(978) 774-0774 ,,
288B6,,,Ardoene Street,"Providence, RI  02907",,,
288B8,,,207 Cranston Street,"Providence, RI  02908",,,
288BA,,,234 Daboll Street,"Providence, RI  02907",,,
288BC,,,30 Corina Street,"Providence, RI  02908",,,
288BE,,,50 Round Street,"Providence, RI  02905",,,
288BG,,,182 Thurbers Avenue,"Providence, RI  02905",,,
288BI,,,872 Reservoir Road ,"Pascoag, RI  02859",,,
288BK,,,25 George Street,"Providence, RI  02906",,,
288BM,,,35 Swiss Street,"Providence, RI  02909",,,
288BO,,,159 Sackett Street,"Providence, RI  02907",(401) 274-3240 ,,
288BQ,,,99 Kenyon Street,"Providence, RI  02903",,,
288BS,,,50 Obediah Brown Road,"Providence, RI  02909",,,
288BU,,,152 Springfield Street,"Providence, RI  02909",,,
288BW,,,721 Chalkstone Avenue,"Providence, RI  02908",,,
288BZ,,,278 Tharbers Avenue,"Providence, RI  02905",,,
288C2,,,891 Broad Street,"Providence, RI  02907",,,
288C4,,,275 K Chad Brown Street,"Providence, RI  02908",(401) 421-4222 ,,
288C6,,,Dexter or Parade Street,"Providence, RI  02909",,,
288C8,,,90 Ives Street,"Providence, RI  02906",,,
288CA,,,70 Fricker Street,"Providence, RI  02903",,,
288CC,,,209 Elmwood Ave,"Providence, RI  02907",,,
288CE,,,50 Obediah Brown Road,"Providence, RI  02909",,,
288CG,,,222 Daboll Street,"Providence, RI  02907",,,
288CI,,,530 Dexter Street,"Providence, RI  02903",(401) 456-9311 ,,
288CK,,,612 Charles Street,"Providence, RI  02904",,,
288CM,,,80 Washington Street,"Providence, RI  02903",(401) 441-4593 ,,
288CO,,,570 Cranston Street,"Providence, RI  02907",(401) 724-1864 ,,
288CQ,,,839 Broad Street,"Providence, RI  02907",(401) 481-4140 ,,
288CS,,,Brown Street & Hasley Street,"Providence, RI  02906",,,
288CU,,,211 Veazie Street,"Providence, RI  02904",,,
288CW,,,216 Hope Street,"Providence, RI  02906",(401) 528-2257 ,,
288CY,,,324 Hope Street,"Providence, RI  02906",,,
288D0,,,7 Thomas P. Whitten Way,"Providence, RI  02903",,,
288D2,,,270 Elmwood Avenue,"Providence, RI  02907",(401) 274-8811 ,,
288D4,,,Mt. Pleasant & Chalkstone,"Providence, RI  02908",,,
288D6,,,17 Hyatt Street02909,"Providence, RI  02909",(401) 456-1778 ,,
288D8,,,31 Salmon Street,"Providence, RI  02909",,,
288DA,,,324 Hope Street,"Providence, RI  02906",,,
288DC,,,362 Dexter Street,"Providence, RI  02907",,,
288DE,,,1000 Elmwood Avenue,"Providence, RI  02905",,,
288DG,,,206 Elmwood Avenue,"Providence, RI  02907",,,
288DI,,,Peace Street and Updike Street,"Providence, RI  02907",(401) 785-9450 ,,
288DK,,,386 Broad Street,"Providence, RI  02907",(401) 831-1119 ,,
288DM,,,550 Hartford Avenue,"Providence, RI  02909",,,
288DO,,,24 Tappan Street,"Providence, RI  02909",,,
288DQ,,,81 Washington Avenue,"Providence, RI  02909",,,
288DS,,,175 Doyle Street,"Providence, RI  02906",(508) 954-5649 ,,
288DU,,,324 Hope Street,"Providence, RI  02906",,,
288DW,,,324 Hope Street,"Providence, RI  02906",,,
288DY,,,324 Hope Street,"Providence, RI  02906",,,
288E0,,,199 Camp Street,"Providence, RI  02906",(401) 521-8830 ,,
288E3,,,133 Delaine Street,"Providence, RI  02909",(401) 290-8740 ,,
288E6,,,Pleasant Street,"Providence, RI  02906",(401) 273-6022 ,,
288E8,,,Sackett Street,"Providence, RI  02907",,,
288EA,,,518 Hartford Avenue,"Providence, RI  02909",(401) 273-2000 X213,,
288EC,,,770 Westminster Street,"Providence, RI  02903",,,
288EE,,,1520 Broad Street,"Providence, RI  02925",,,
288EG,,,15 Hayes St,"Providence, RI  02908",,,
288EI,,,1450 Broad St,"Providence, RI  02905",(401) 274-3240 ,,
288EK,,,1000 Elmwood Ave,"Providence, RI  02905",,,
288F0,,,109 Bucklin Street,"Providence, RI  02907",(401) 781-4242 ,,
288F2,,,152 Springfield Street,"Providence, RI  02909",(401) 456-0100 ,,
288F4,,,110 Ruggles Street,"Providence, RI  02908",(401) 455-3880 ,,
288F6,,,Salisbury Street,"Providence, RI  02905",(401) 941-4536 ,,
288F8,,,1 Louisa Street,"Providence, RI  02905",(401) 444-0766 ,,
288G0,,,11 West Drive,"Providence, RI  02908",,,
288G2,,,216 Hope Street,"Providence, RI  02906",(401) 528-2152 ,,
288G4,,,550 Branch Avenue,"Providence, RI  02904",(401) 444-0762 ,,
288G6,,,42 Jillson Street,"Providence, RI  02905",(401) 461-6650 ,,
288G8,,,11 Gesler Street,"Providence, RI  02903",,,
288H0,,,Springfield Street,"Providence, RI  02909",(401) 421-0457 ,,
288H2,,,114 Delaine Street,"Providence, RI  02908",(401) 273-7528 ,,
288H4,,,33 Atwood Street,"Providence, RI  02909",(401) 444-0760 ,,
288H8,,,370 Hartford Avenue,"Providence, RI  02909",(401) 456-9353 ,,
288I0,,,Roger Williams Park Tennis Cts,"Providence, RI  02907",(401) 421-7740 ,,
288I2,,,324 Hope Street,"Providence, RI  02906",(401) 456-9161 ,,
288I4,,,140 Cypress Street,"Providence, RI  02906",(401) 497-4366 ,,
288I6,,,46 Dexter Street,"Providence, RI  02909",(401) 461-7251 ,,
288I8,,,1 Danforth Street,"Providence, RI  02908",(401) 455-8854 ,,
288J0,,,250 Lloyd Avenue,"Providence, RI  02906",(401) 831-0062 ,,
288J2,,,Sims Avenue,"Providence, RI  ",(401) 274-3889 ,,
288J5,,,211 Veazie Street,"Providence, RI  02904",(401) 453-8601 ,,
288J7,,,17 Congdon Street,"Providence, RI  02906",(401) 421-4032 ,,
288J9,,,325 Public Street,"Providence, RI  02905",(401) 256-0456 ,,
288K1,,,20 Laurel Hill Avenue,"Providence, RI  02909",(401) 831-0362 ,,
288K3,,,164 Broad Street,"Providence, RI  02903",(401) 456-0100 ,,
288K5,,,500 Hope Street,"Providence, RI  02906",(401) 331-7768 ,,
288K8,,,1125 North Main Street,"Providence, RI  02906",(401) 276-0570 ,,
288L0,,,35 Camp Street,"Providence, RI  02906",(401) 521-0155 ,,
288L2,,,31 Salmon Street,"Providence, RI  02909",(401) 454-3396 ,,
288L4,,,5 Laurel Hill Avenue,"Providence, RI  02909",(401) 751-6400 ,,
288L6,,,100 Niantic Avenue,"Providence, RI  02907",(401) 351-2440 ,,
288L8,,,109 Bucklin Street,"Providence, RI  02907",(401) 781-4242 ,,
288M0,,,109 Bucklin Street,"Providence, RI  02907",(401) 781-4242 ,,
288M2,,,310 Elmwood Avenue,"Providence, RI  02905",(401) 272-3999 ,,
288M4,,,620 Potters Avenue,"Providence, RI  02907",(401) 781-6110 ,,
288M6,,,795 Eddy Street,"Providence, RI  02905",(401) 461-0395 ,,
288M8,,,20 Syracuse Street,"Providence, RI  02909",(401) 274-1491 ,,
288N0,,,104 Valley Street,"Providence, RI  02909",(401) 421-0457 ,,
288N2,,,214 Prairie Avenue,"Providence, RI  02905",(401) 351-5000 ,,
288N4,,,234 Daboll Street,"Providence, RI  02907",(401) 273-8866 ,,
288N6,,,159 Sackett Street,"Providence, RI  02902",(401) 455-8807 ,,
288N8,,,80 E Admiral Street,"Providence, RI  02908",(401) 383-9640 ,,
288O0,,,Cadillac Drive,"Providence, RI  ",,,
288O2,,,Michigan Avenue,"Providence, RI  ",,,
288O4,,,Merino Street,"Providence, RI  ",,,
288O6,,,Daniel Avenue,"Providence, RI  ",,,
288O8,,,Pearl St.,"Providence, RI  ",,,
288P0,,,1655 Westminster Street,"Providence, RI  02909",(401) 456-9360 ,,
288P2,,,69 Gordon Avenue,"Providence, RI  ",(401) 456-0100 ,,
288P4,,,263 Chad Brown Street,"Providence, RI  02908",(401) 751-6400 ,,
288P6,,,278 Thurbers Avenue,"Providence, RI  02905",(401) 456-9355 ,(401) 453-8631 ,
288P8,,,140 Cypress Street,"Providence, RI  02906",(401) 455-8875 ,,
288Q0,,,324 Hope Street,"Providence, RI  02906",(401) 273-2390 ,,
288Q2,,,35 Camp Street,"Providence, RI  02906",(401) 456-9398 ,,
288Q4,,,133 Delaine Street,"Providence, RI  02909",(401) 351-2241 ,,
288Q6,,,42 Jillson Street,"Providence, RI  ",,,
288Q8,,,529 Plainfield Street,"Providence, RI  02909",,,
288R0,,,177 Bucklin Street,"Providence, RI  02907",(401) 785-8451 ,,
288R2,,,58 Dartmouth Avenue,"Providence, RI  02907",(401) 785-8455 ,,
288R4,,,177 Bucklin Street,"Providence, RI  02907",(401) 785-8451 ,,
288R6,,,Ascham Street,"Providence, RI  02904",,,
288R8,,,236 Rhodes Street,"Providence, RI  02907",(401) 781-6902 ,,
288S0,,,155 Niagra,"Providence, RI  ",(401) 455-8807 ,,
288S2,,,109 Bucklin Street,"Providence, RI  ",,,
288S4,,,9 Courtland Street,"Providence, RI  02909",(401) 421-4722 ,,
288S6,,,770 Westminster Street,"Providence, RI  02903",(401) 456-9147 ,,
288S8,,,25 Mystic Street,"Providence, RI  02905",(401) 461-0337 ,,
288T0,,,213 Laurel Hill Avenue,"Providence, RI  02909",(401) 943-4844 ,,
288T2,,,50 Springfield Street,"Providence, RI  02909",(401) 255-3358 ,,
288T4,,,7 Thomas P. Whitten Way,"Providence, RI  02903",(401) 421-6993 X369,,
288T6,,,35 Camp Street,"Providence, RI  02906",(401) 455-8875 ,,
288T8,,,Merino Street,"Providence, RI  ",(401) 709-6411 ,,
288U0,,,480 Charles Street,"Providence, RI  02904",(401) 837-1110 ,,
288U2,,,375 Broad & Elmwood ,"Providence, RI  02905",(401) 787-8178 ,,
288U4,,,199 Oxford Street,"Providence, RI  02905",(401) 455-8812 ,,
288U8,,,9 Bodel Street,"Providence, RI  02909",(401) 421-2101 ,,
288V0,,,674 Prairie Avenue,"Providence, RI  02905",(401) 455-8812 ,,
288V2,,,144 Dodge Street,"Providence, RI  02907",(401) 444-0750 X109,(401) 444-0757 ,www.bgcprov.org
288V4,,,27 Sims Avenue,"Providence, RI  02909",(210) 416-8977 ,,
288V6,,,99 Bershire Street,"Providence, RI  02908",,,
288V8,,,15 Hayes Street,"Providence, RI  02908",(401) 421-5860 ,,
288W0,,,807 Broad Street,"Providence, RI  02907",(401) 780-0700 ,,
288W2,,,95 Westminster Street,"Providence, RI  02903",(401) 274-3240 ,,
288W4,,,216 Chad Brown Street,"Providence, RI  02908",(401) 272-2912 ,,
288W6,,,20 Minor Street,"Providence, RI  ",,,
288W8,,,31 Salmon Street,"Providence, RI  02909",,,
288X0,,,Laurel Hill Ave & Hartford Avenue,"Providence, RI  02909",(401) 785-9450 ,,
288Y1,,,211 Veazie Street,"Providence, RI  ",,,
288Y3,,,135 Gansett Ave,"Cranston, RI  02910",(973) 487-6276 ,,
288Y5,,,50 Gladstone St.,"Cranston, RI  02908",,,
288Y7,,,743 Westminster St.,"Providence, RI  02903",(401) 751-4556 ,,
288Y9,,, 27 Sims Avenue,"Providence, RI  02909",(401) 273-7101 ,,
288Z1,,,434 Mount Pleasant Avenue,"Providence, RI  02908",(401) 421-7740 ,,
288Z3,,,1 Buttonhole Drive,"Providence, RI  02909",(401) 421-7740 ,,
288Z5,,,1000 Eddy St.,"Providence, RI  02906",(401) 421-7740 ,,
288Z7,,,324 Hope St.,"Providence, RI  02906",(401) 421-7740 ,,
288Z9,,,326 Hawkins St. ,"Providence, RI  02904",(401) 603-1863 ,,
28901,KG - 12,Other,,,,,
28904,PK - KF,Other,,,,,
28906,PK - PF,Other,350 Point Street,"Providence, RI  02905",(401) 351-2424 ,,
28908, - ,Ungraded,593 Eddy Street               ,"Providence, RI  02903",(401) 444-8278 ,, 
28911,,,620 Potters Avenue            ,"Providence, RI       ",,, 
28913,,,,,,,
28915,PK - PF,Other,,,,,
28917, - ,Other,,,,,
28919,12 - 12,Other,Johnson & Wales,"Providence, RI  ",(401) 215-8616 ,,
28921, - ,Other,415 Friendship St,"Providence, RI  02907",(401) 272-0220 ,,
28923, - ,Other,31 Providence Place,"Providence, RI  02903",(401) 437-8885 ,,
28925, - ,Other,220 Elmwood Ave,"Providence, RI  02907",(401) 273-8866 ,,
28927, - ,Other,620 Potter Ave,"Providence, RI  02907",(401) 781-6110 ,,
28930, - ,Other,518 Hartford Ave,"Providence, RI  02909",(401) 273-2000 ,,
28932, - ,Other,66 Chaffee StreetYouthBuild Providence,"Providence, RI  02909",(401) 273-7528 ,,
28934, - ,Other,150 Empire Street,"Providence, RI  02903",(401) 455-8185 ,,
28936, - ,Other,10 Dorrance St.  Unit 1108,"Providence, RI  02903",(401) 421-7829 ,,
28938,PK - PF,Other,99 Berkshire Street,"Providence, RI  02908",(401) 752-7500 ,,
28990,PK - 12,Other,,,,,
28998,PK - 12,Other,,,,,
30,PK - 12,,197 Danielson PikePO 188 ,"North Scituate, RI  02857",(401) 647-4100 ,(401) 647-4102 ,www.scituateri.net
30103,PK - 05,PK-3/Elementary,3 George Washington Highway,"Clayville, RI  02815",(401) 647-4115 ,(401) 647-4114 ,www.scituateri.net/clayville
30105,06 - 08,Middle,94 Trimtown Road,"North Scituate, RI  02857",(401) 647-4123 ,(401) 647-4104 ,www.scituateri.net/SMS
30190,PK - 12,Other,197 Danielson PikePO Box 188,"North Scituate, RI  02857",(401) 647-4100 ,(401) 647-4102 ,www.scituateri.net
30803,,,1043 Snake Hill Road,"North Scituate, RI  02857",(401) 568-4350 ,,
308A1,,,1043 Snake Hill Road,"North Scituate, RI  ",(401) 861-9215 ,(401) 954-0743 ,
30990,PK - 12,Other,,,,,
30998,PK - 12,Other,,,,,
31,PK - 12,,49 Farnum Pike ,"Smithfield, RI  02917",(401) 231-6606 ,(401) 232-0870 ,www.smithfield-ps.org
31104,KF - 05,Elementary,200 Old County Road,"Smithfield, RI  02917",(401) 231-6613 ,(401) 231-2292 ,ocres.smithfield-ps.org/
31107,09 - 12,Secondary,90 Pleasant View Avenue,"Smithfield, RI  02917",(401) 949-2050 ,(401) 949-2052 ,sentinel.smithfield-ps.org/
31109,06 - 08,Middle,10 Indian Run Trail,"Smithfield, RI  02917",(401) 949-2056 ,(401) 949-5697 ,gms.smithfield-ps.org/
31202,PK - 08,PK-3/Elementary,618 Putnam Pike,"Smithfield, RI  02828",(401) 949-1130 ,(401) 949-1141 ,www.stphilipschool.com
31302,PK - KF,PK Only,170 Pleasant View Avenue,"Smithfield, RI  02917",(401) 231-7446 ,,
31321,PK - KG,PK-3/Elementary,22 Cedar Swamp Road,"Smithfield, RI  02917",(401) 233-2828 ,,
31327,PK - KG,PK-3/Elementary,85 West Reservoir Road,"Smithfield, RI  02917",(401) 232-5533 ,, 
31331,KG - 02,PK-3/Elementary,915 Douglas Pike,"Smithfield, RI  02917",(401) 231-8787 ,,
31801,,,10 Indian Run Trail,"Smithfield, RI  02917",,,
31805,,,PO Box 363,"Smithfield, RI  02828",(401) 949-2480 ,,
318A1,,,111 W. Greenville Road,"Smithfield, RI  02828",(401) 949-4145 ,(401) 949-4692 ,
318A3,,,1201 Douglas Pike,"Smithfield, RI  02917",(401) 349-0044 ,,
31901, - ,Other,,,,,
31997,PK - 12,Other,,,,,
31999,PK - 12,Other,,,,,
32103,KF - 04,Elementary,101 High Street,"Wakefield, RI  02879",(401) 360-1400 ,(401) 360-1401 ,wa.skschools.net/
32107,KF - 04,Elementary,109  Kersey Road,"Peace Dale, RI  02879",(401) 360-1600 ,(401) 360-1601 ,pd.skschools.net/
32113,KF - 04,Elementary,380 Matunuck Beach Road,"Wakefield, RI  02879",(401) 360-1234 ,(401) 360-1235 ,mt.skschools.net/
32190,PK - 12,Other,307 Curtis Corner Road,"Wakefield, RI  02879",(401) 360-1300 ,(401) 360-1330 ,www.skschools.net
32203,PK - 08,PK-3/Elementary,5074 Tower Hill Road,"Wakefield, RI  02879",(401) 789-0860 ,(401) 789-3164 ,www.monsignorclarkeschool.org
32302,PK - KG,PK-3/Elementary,220 Moonstone Beach RoadPO Box 662,"Wakefield, RI  02879",(401) 783-3222 ,,
32320,PK - PK,PK Only,30 Spring Street,"Wakefield, RI  02879",(401) 782-8860 ,, 
32327,PK - PK,PK Only,366 Main StreetPO Box 5268,"Wakefield, RI  02880",(401) 782-4820 ,, 
32338,PK - KG,PK-3/Elementary,251B Post Road,"Wakefield, RI  02879",(401) 789-1965 ,,
32341,PK - KG,PK-3/Elementary,1175 South Rd.,"Wakefield, RI  02879",(401) 789-1963 ,,www.growingchildrenri.com/
32601,KF - 05,Elementary,850 Stony Fort Road,"Saunderstown, RI  02874",(401) 783-8282 ,(401) 783-5656 ,www.kingstonhill.org
32802,,,,,,,
32832,,,281 Post Road,"Wakefield, RI  02879",(401) 789-7210 ,,
32834,,,94 John Potter Road,"West Greenwich, RI  02817",(401) 397-5020 ,(401) 397-0093 ,
32836,,,2260 South County Trail,"East Greenwich, RI  02818",,,
328A0,,,46 Liberty Lane,"West Kingston, RI  02892",(401) 789-3739 ,,
328A2,,,"Ministerial Road, Rte. 110","West Kingston, RI  02892",(401) 783-2367 ,,
328A4,,,Camp Fuller Road,"Wakefield, RI  02879",(401) 783-5359 ,,
328A6,,,1935 Kingstown Road,"Wakefield, RI  02879",,,
328A8,,,676 Warren Avenue,"East Providence, RI  02914",,,
328B0,,,1175 Main Street,"coventry, RI  02816",,,
328B2,,,46 Liberty Lane,"West Kingston, RI  02892",(401) 848-4110 ,,
328B4,,,325 Columbia Street,"Peace Dale, RI  02879",(401) 789-9301 ,,
32901, - ,Other,Salt Pond Road                ,"Wakefield, RI       ",,, 
32903, - ,Other,,,,,
32905, - ,Other,,,,,
32907,09 - 12,Other,307 Curtis Corner Road,"Wakefield, RI  02879",(401) 792-9652 ,,
32909,KG - 12,Other,South Shore School1157 South Road,"Wakefield, RI  02879",(401) 312-6553 ,,
32911,PK - KF,Other,12 High Street,"Wakefield, RI  02879",(401) 782-6100 ,,
32913, - ,Other,33 North Rd C-1Lily Pads Professional Center,"Peacedale, RI  02879",(401) 284-3358 ,,
32990,PK - 12,Other,,,,,
32998,PK - 12,Other,,,,,
33,PK - 12,,100 North Brayton Road ,"Tiverton, RI  02878",(401) 624-8475 ,(401) 624-4086 ,www.tivertonschools.org
33106,PK - 04,Elementary,99 Lawton Avenue,"Tiverton, RI  02878",(401) 624-6114 ,(401) 624-6115 ,fortbarton.tivertonschools.org/
33108,09 - 12,Secondary,100 North Brayton Road,"Tiverton, RI  02878",(401) 624-8494 ,(401) 624-8495 ,ths.tivertonschools.org/
33190,PK - 12,Other,100 North Brayton Road,"Tiverton, RI  02878",(401) 624-8475 ,(401) 624-4086 ,www.tivertonschools.org
338A1,,,1048 Stafford,"Tiverton, RI  02878",(401) 624-4736 ,(401) 624-4736 ,
33901,PK - 12,Ungraded,Stafford Road,"Tiverton, RI  02878",,,
33990,PK - 12,Other,,,,,
33997,PK - 12,Other,,,,,
33999,PK - 12,Other,,,,,
35040, - ,Other,,,,,
35042, - ,Other,,,,,
35104,PK - 06,PK-3/Elementary,383 Oakland Beach Avenue,"Warwick, RI  02889",(401) 734-3420 ,(401) 734-3423 ,www.warwickschools.org/obeach/
35118,07 - 08,Middle,789 Post Road,"Warwick, RI  02888",(401) 734-3500 ,(401) 734-3508 ,www.warwickschools.org/aldrich/default.htm
35120,07 - 08,Middle,69 Draper Avenue,"Warwick, RI  02889",(401) 734-3350 ,(401) 734-3359 ,www.warwickschools.org/gorton/default.htm
35123,KF - 06,PK-3/Elementary,30 Almy Street,"Warwick, RI  02886",(401) 734-3240 ,(401) 734-3243 ,www.warwickschools.org/Lippitt/default.htm
35125,KF - 06,PK-3/Elementary,325 Miantonomo Drive,"Warwick, RI  02888",(401) 734-3340 ,(401) 734-3343 ,www.warwickschools.org/francis/default.htm
35128,KF - 06,PK-3/Elementary,70 Deborah Road,"Warwick, RI  02888",(401) 734-3170 ,(401) 734-3173 ,www.warwickschools.org/holliman/default.htm
35130,09 - 12,Secondary,2401 West Shore Road,"Warwick, RI  02889",(401) 734-3200 ,(401) 734-3214 ,www.warwickschools.org/vets/default.htm
35132,KG - 06,PK-3/Elementary,40 Asylum Road,"Warwick, RI  02886",(401) 734-3690 ,(401) 734-3693 ,www.warwickschools.org/park/default.htm
